has_response_parameters,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off,uniprot_length,seq_valid,seq_length,protein_mw,protein_aromaticity,protein_instability_index,protein_isoelectric_point,protein_gravy,protein_charge_at_pH_7,protein_aa_frac_A,protein_aa_frac_C,protein_aa_frac_D,protein_aa_frac_E,protein_aa_frac_F,protein_aa_frac_G,protein_aa_frac_H,protein_aa_frac_I,protein_aa_frac_K,protein_aa_frac_L,protein_aa_frac_M,protein_aa_frac_N,protein_aa_frac_P,protein_aa_frac_Q,protein_aa_frac_R,protein_aa_frac_S,protein_aa_frac_T,protein_aa_frac_V,protein_aa_frac_W,protein_aa_frac_Y,instance_type_ucf_gate_or_circuit_fragment,instance_type_nan,ucf_record_type_models,ucf_record_type_response_functions,ucf_record_type_nan,gate_or_fragment_name_A1_AmtR,gate_or_fragment_name_A1_AmtR_a,gate_or_fragment_name_A1_AmtR_b,gate_or_fragment_name_A1_AmtR_model,gate_or_fragment_name_E1_BetI,gate_or_fragment_name_E1_BetI_a,gate_or_fragment_name_E1_BetI_b,gate_or_fragment_name_E1_BetI_model,gate_or_fragment_name_F1_AmeR,gate_or_fragment_name_F1_AmeR_model,gate_or_fragment_name_F2_AmeR,gate_or_fragment_name_F2_AmeR_model,gate_or_fragment_name_N1_LmrA,gate_or_fragment_name_N1_LmrA_model,gate_or_fragment_name_P1_PhlF,gate_or_fragment_name_P1_PhlF_a,gate_or_fragment_name_P1_PhlF_b,gate_or_fragment_name_P1_PhlF_model,gate_or_fragment_name_P1_QacR_a,gate_or_fragment_name_P1_QacR_b,gate_or_fragment_name_P1_QacR_model,gate_or_fragment_name_P2_PhlF,gate_or_fragment_name_P2_PhlF_model,gate_or_fragment_name_P3_PhlF,gate_or_fragment_name_P3_PhlF_model,gate_or_fragment_name_Q1_QacR,gate_or_fragment_name_Q1_QacR_a,gate_or_fragment_name_Q1_QacR_b,gate_or_fragment_name_Q1_QacR_model,gate_or_fragment_name_Q2_QacR,gate_or_fragment_name_Q2_QacR_model,gate_or_fragment_name_S1_SrpR,gate_or_fragment_name_S1_SrpR_model,gate_or_fragment_name_S2_SrpR,gate_or_fragment_name_S2_SrpR_model,gate_or_fragment_name_S3_SrpR,gate_or_fragment_name_S3_SrpR_model,gate_or_fragment_name_S4_SrpR,gate_or_fragment_name_S4_SrpR_model,gate_or_fragment_name_nan,uniprot_accession_A4GS74,uniprot_accession_H7C699,uniprot_accession_P0A0N4,uniprot_accession_P17446,uniprot_accession_P97046,uniprot_accession_Q7CWT2,uniprot_accession_Q9R9T9,uniprot_accession_nan,uniprot_id_A4GS74_9PSED,uniprot_id_BETI_ECOLI,uniprot_id_H7C699_CORGT,uniprot_id_LMRA_LACLM,uniprot_id_Q7CWT2_AGRFC,uniprot_id_QACR_STAAU,uniprot_id_SRPR_PSEPU,uniprot_id_nan,uniprot_entry_type_UniProtKB reviewed (Swiss-Prot),uniprot_entry_type_UniProtKB unreviewed (TrEMBL),uniprot_entry_type_nan,uniprot_protein_name_,uniprot_protein_name_HTH-type transcriptional regulator BetI,uniprot_protein_name_HTH-type transcriptional regulator QacR,uniprot_protein_name_HTH-type transcriptional regulator SrpR,uniprot_protein_name_Multidrug resistance ABC transporter ATP-binding and permease protein,uniprot_protein_name_nan,uniprot_gene_names_ameR,uniprot_gene_names_amtR,uniprot_gene_names_betI,uniprot_gene_names_lmrA,uniprot_gene_names_phlF,uniprot_gene_names_qacR,uniprot_gene_names_srpR,uniprot_gene_names_nan,uniprot_organism_Agrobacterium fabrum (strain C58 / ATCC 33970),uniprot_organism_Corynebacterium glutamicum,uniprot_organism_Escherichia coli (strain K12),uniprot_organism_Lactococcus lactis subsp. cremoris (strain MG1363),uniprot_organism_Pseudomonas putida,uniprot_organism_Pseudomonas sp. P97.30,uniprot_organism_Staphylococcus aureus,uniprot_organism_nan
1,1.2970000000000002,2.6368220975871743,1.3,0.003,0.01,2.9,0.27939389800000003,0.10505753949999999,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,2.097,2.845098040014257,2.1,0.003,0.04,2.6,0.27939389800000003,0.10505753949999999,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,2.096,2.720159303405957,2.1,0.004,0.06,2.8,0.27939389800000003,0.10505753949999999,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,2.093,2.4771212547196626,2.1,0.007,0.1,2.8,0.27939389800000003,0.10505753949999999,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,3.165616099,3.0491670745062107,3.1684454,0.002829301,0.062531512,2.655303675,0.351620698,0.085751278,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,1.365149567,3.0038255129987137,1.366504087,0.00135452,0.016906016,3.095316853,0.496977484,0.054296158,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,3.051477031,2.877130210405136,3.055531711,0.00405468,0.087385601,2.657349101,0.333702566,0.092558084,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,3.161638671,2.8623147153831425,3.165985717,0.004347046,0.110327837,2.654076554,0.378190946,0.089509276,0.2839901653137192,0.11755699456950987,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,1.2970000000000002,2.6368220975871743,1.3,0.003,0.01,2.9,0.27939389800000003,0.10505753949999999,0.4969774844849547,0.05429615831701271,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,2.097,2.845098040014257,2.1,0.003,0.04,2.6,0.27939389800000003,0.10505753949999999,0.35162069790016137,0.08575127838151375,0.8,4.0,213,1,213,23876.12660000001,0.07511737089201878,36.17699530516432,5.891213798522949,-0.04225352112676056,-3.9382059039798705,0.10328638497652581,0.004694835680751174,0.04694835680751174,0.07511737089201878,0.04225352112676056,0.06103286384976526,0.02816901408450704,0.06572769953051644,0.04225352112676056,0.12206572769953052,0.01408450704225352,0.01408450704225352,0.02816901408450704,0.08450704225352113,0.06103286384976526,0.05633802816901408,0.03755868544600939,0.07981220657276995,0.01408450704225352,0.018779342723004695,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
